,real,target,preds,lower,upper
01-10-25,13700.0,13700.0,13700.0,13700.0,13700.0
01-10-26,15300.0,15300.0,15300.0,15300.0,15300.0
01-10-29,17100.0,17100.0,17100.0,17100.0,17100.0
01-10-30,17100.0,17100.0,17100.0,17100.0,17100.0
01-10-31,16650.0,16650.0,16650.0,16650.0,16650.0
01-11-01,16150.0,16150.0,16150.0,16150.0,16150.0
01-11-02,15350.0,15350.0,15350.0,15350.0,15350.0
01-11-05,16100.0,16100.0,16100.0,16100.0,16100.0
01-11-06,15750.0,15750.0,15750.0,15750.0,15750.0
01-11-07,16000.0,16000.0,16000.0,16000.0,16000.0
01-11-08,15850.0,15850.0,15850.0,15850.0,15850.0
01-11-09,15500.0,15500.0,15500.0,15500.0,15500.0
01-11-12,15300.0,15300.0,15300.0,15300.0,15300.0
01-11-13,15000.0,15000.0,15000.0,15000.0,15000.0
01-11-14,15000.0,15000.0,15000.0,15000.0,15000.0
01-11-15,15350.0,15350.0,15350.0,15350.0,15350.0
01-11-16,15200.0,15200.0,15200.0,15200.0,15200.0
01-11-19,15100.0,15100.0,15100.0,15100.0,15100.0
01-11-20,15000.0,15000.0,15000.0,15000.0,15000.0
01-11-21,14350.0,14350.0,14350.0,14350.0,14350.0
01-11-22,14000.0,14000.0,14000.0,14000.0,14000.0
01-11-23,14250.0,14250.0,14250.0,14250.0,14250.0
01-11-26,14100.0,14100.0,14100.0,14100.0,14100.0
01-11-27,13450.0,13450.0,13450.0,13450.0,13450.0
01-11-28,12500.0,12500.0,12500.0,12500.0,12500.0
01-11-29,13200.0,13200.0,13200.0,13200.0,13200.0
01-11-30,13300.0,13300.0,13300.0,13300.0,13300.0
01-12-03,14500.0,14500.0,14500.0,14500.0,14500.0
01-12-04,14600.0,14600.0,21518.876953125,21518.876953125,21518.876953125
01-12-05,14200.0,14200.0,19319.7666015625,16803.8515625,21835.681640625
01-12-06,14150.0,14150.0,17430.87890625,14555.421830545609,20306.33598195439
01-12-07,14000.0,14000.0,16396.7890625,13663.708840977539,19129.86928402246
01-12-10,13700.0,13700.0,15170.77734375,12456.813482832595,17884.741204667407
01-12-11,13500.0,13500.0,15077.740234375,12432.754910941361,17722.72555780864
01-12-12,13700.0,13700.0,14841.8056640625,12381.339618344951,17302.27170978005
01-12-13,13500.0,13500.0,14884.962890625,12565.066207504255,17204.859573745747
01-12-14,13350.0,13350.0,14598.6455078125,12226.192116340128,16971.098899284872
01-12-17,13050.0,13050.0,14341.35693359375,11947.551957765185,16735.161909422317
01-12-18,12600.0,12600.0,14317.451171875,11993.509089719697,16641.393254030303
01-12-19,12300.0,12300.0,14512.77587890625,12351.46668558035,16674.08507223215
01-12-20,12400.0,12400.0,14489.3115234375,12511.644444860933,16466.978602014067
01-12-21,12450.0,12450.0,14304.27880859375,12366.473099657882,16242.084517529618
01-12-24,13200.0,13200.0,14055.9248046875,12093.799574733996,16018.050034641004
01-12-26,13300.0,13300.0,14003.05517578125,12036.964516432805,15969.145835129695
01-12-27,12950.0,12950.0,14076.1474609375,12173.322791424976,15978.972130450024
01-12-28,13250.0,13250.0,14186.69677734375,12407.276596876929,15966.116957810571
02-01-02,14000.0,14000.0,14156.345703125,12426.82445963363,15885.86694661637
02-01-03,14350.0,14350.0,13998.6103515625,12273.384458949195,15723.836244175805
02-01-04,14450.0,14450.0,13763.9248046875,12041.806654726055,15486.042954648945
02-01-07,14550.0,14550.0,13604.884765625,11869.049341583643,15340.720189666357
02-01-08,15050.0,15050.0,13530.1025390625,11819.148906052427,15241.056172072573
02-01-09,15100.0,15100.0,13379.6484375,11700.035327531976,15059.261547468024
02-01-10,15850.0,15850.0,13096.837890625,11415.349872792842,14778.325908457158
02-01-11,16000.0,16000.0,12768.22265625,11062.148025403758,14474.297287096242
02-01-14,16100.0,16100.0,12566.9873046875,10810.603266851276,14323.371342523724
02-01-15,15350.0,15350.0,12518.68701171875,10758.329070767822,14279.044952669678
02-01-16,15000.0,15000.0,12571.03564453125,10782.096729360752,14359.974559701748
02-01-17,15000.0,15000.0,12662.88916015625,10876.188862356244,14449.589457956256
