,real,target,preds,lower,upper
01-10-25,13700.0,13700.0,13700.0,13700.0,13700.0
01-10-26,15300.0,15300.0,15300.0,15300.0,15300.0
01-10-29,17100.0,17100.0,17100.0,17100.0,17100.0
01-10-30,17100.0,17100.0,17100.0,17100.0,17100.0
01-10-31,16650.0,16650.0,16650.0,16650.0,16650.0
01-11-01,16150.0,16150.0,16150.0,16150.0,16150.0
01-11-02,15350.0,15350.0,15350.0,15350.0,15350.0
01-11-05,16100.0,16100.0,16100.0,16100.0,16100.0
01-11-06,15750.0,15750.0,15750.0,15750.0,15750.0
01-11-07,16000.0,16000.0,16000.0,16000.0,16000.0
01-11-08,15850.0,15850.0,15850.0,15850.0,15850.0
01-11-09,15500.0,15500.0,15500.0,15500.0,15500.0
01-11-12,15300.0,15300.0,15300.0,15300.0,15300.0
01-11-13,15000.0,15000.0,15000.0,15000.0,15000.0
01-11-14,15000.0,15000.0,15000.0,15000.0,15000.0
01-11-15,15350.0,15350.0,15350.0,15350.0,15350.0
01-11-16,15200.0,15200.0,15200.0,15200.0,15200.0
01-11-19,15100.0,15100.0,15100.0,15100.0,15100.0
01-11-20,15000.0,15000.0,15000.0,15000.0,15000.0
01-11-21,14350.0,14350.0,14350.0,14350.0,14350.0
01-11-22,14000.0,14000.0,14000.0,14000.0,14000.0
01-11-23,14250.0,14250.0,14250.0,14250.0,14250.0
01-11-26,14100.0,14100.0,14100.0,14100.0,14100.0
01-11-27,13450.0,13450.0,13450.0,13450.0,13450.0
01-11-28,12500.0,12500.0,12500.0,12500.0,12500.0
01-11-29,13200.0,13200.0,13200.0,13200.0,13200.0
01-11-30,13300.0,13300.0,13300.0,13300.0,13300.0
01-12-03,14500.0,14500.0,14500.0,14500.0,14500.0
01-12-04,14600.0,14600.0,19775.24609375,19775.24609375,19775.24609375
01-12-05,14200.0,14200.0,18492.787109375,17031.677734375,19953.896484375
01-12-06,14150.0,14150.0,17262.234375,15491.685693738717,19032.783056261283
01-12-07,14000.0,14000.0,16313.5556640625,14501.076402529168,18126.03492559583
01-12-10,13700.0,13700.0,15442.14453125,13609.397068308863,17274.891994191137
01-12-11,13500.0,13500.0,15737.3251953125,14000.34423705939,17474.306153565612
01-12-12,13700.0,13700.0,16123.3125,14613.75074186546,17632.87425813454
01-12-13,13500.0,13500.0,15882.1015625,14551.012239233442,17213.19088576656
01-12-14,13350.0,13350.0,15581.029296875,14181.810624238798,16980.2479695112
01-12-17,13050.0,13050.0,15369.90380859375,13892.914049871473,16846.893567316027
01-12-18,12600.0,12600.0,15434.361328125,13996.284674545364,16872.437981704636
01-12-19,12300.0,12300.0,15654.1279296875,14379.8559938949,16928.3998654801
01-12-20,12400.0,12400.0,15724.2255859375,14627.401326982616,16821.049844892383
01-12-21,12450.0,12450.0,15550.0908203125,14430.007094180553,16670.174546444447
01-12-24,13200.0,13200.0,15262.744140625,14045.476121395433,16480.012159854567
01-12-26,13300.0,13300.0,15179.0087890625,13932.138027891131,16425.87955023387
01-12-27,12950.0,12950.0,15349.908203125,14183.685032923036,16516.131373326964
01-12-28,13250.0,13250.0,15446.61328125,14418.756507028846,16474.470055471153
02-01-02,14000.0,14000.0,15345.23046875,14324.360297309933,16366.100640190067
02-01-03,14350.0,14350.0,15125.95166015625,14043.998550280954,16207.904770031546
02-01-04,14450.0,14450.0,14923.455078125,13809.862792218237,16037.047364031763
02-01-07,14550.0,14550.0,14874.30029296875,13769.990703999601,15978.609881937899
02-01-08,15050.0,15050.0,14773.255859375,13720.015782586572,15826.495936163428
02-01-09,15100.0,15100.0,14523.92822265625,13457.89307046315,15589.96337484935
02-01-10,15850.0,15850.0,14173.671875,13043.4958042921,15303.8479457079
02-01-11,16000.0,16000.0,13881.408203125,12697.644479770528,15065.171926479472
02-01-14,16100.0,16100.0,13813.27734375,12607.262558398515,15019.292129101485
02-01-15,15350.0,15350.0,13793.8369140625,12624.422218346921,14963.251609778079
02-01-16,15000.0,15000.0,13828.92138671875,12652.39338580623,15005.44938763127
02-01-17,15000.0,15000.0,13926.1533203125,12744.158373843971,15108.148266781029
